PatchID,X,Y,SubpatchNO,K,K StDev,N0,Natal Grounds,Migration Grounds,Genes Initialize,Class Vars,Mortality Out %,Mortality Out StDev,Mortality Back,Mortality Back StDev,Mortality Eggs,Mortality Eggs StDev,Migration,Set Migration,Straying,GrowthTemperatureOut,GrowthTemperatureOutStDev,GrowDaysOut,GrowDaysOutStDev,GrowthTemperatureBack,GrowthTemperatureBackStDev,GrowDaysBack,GrowDaysBackStDev,Capture Probability Out,Capture Probability Back,HabitatOut,HabitatBack,Fitness_AA,Fitness_Aa,Fitness_aa,Fitness_BB,Fitness_Bb,Fitness_bb,Fitness_AABB,Fitness_AaBB,Fitness_aaBB,Fitness_AABb,Fitness_AaBb,Fitness_aaBb,Fitness_AAbb,Fitness_Aabb,Fitness_aabb
1,504575.0996,4938789.099,1,100 | 100 | 100,10 |10 |10,50,1,1,random,classvars.csv,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,1,Y,1 | 1 | 1,2 | 2 | 2,0 | 0 | 0,155 | 155 | 155,0|0|0,11.4499998|12.6999998|13.4899998,0|0|0,210 | 210 | 210,0|0|0,N,N,5,5,0|0|0,0|0|0,0|0|0,1,1,1,1,1,1,1,1,1,1,1,1
2,504692.0034,4938564.577,2,100 | 100 | 100,10 |10 |10,50,1,1,random,classvars.csv,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,1,Y,1 | 1 | 1,2 | 2 | 2,0 | 0 | 0,155 | 155 | 155,0|0|0,11.8000002|13.0500002|13.8400002,0|0|0,210 | 210 | 210,0|0|0,N,N,5,5,0|0|0,0|0|0,0|0|0,1,1,1,1,1,1,1,1,1,1,1,1
3,503883.4868,4937979.587,3,100 | 100 | 100,10 |10 |10,50,1,1,random,classvars.csv,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,1,Y,1 | 1 | 1,2 | 2 | 2,0 | 0 | 0,155 | 155 | 155,0|0|0,13.8199997|15.0699997|15.8599997,0|0|0,210 | 210 | 210,0|0|0,N,N,5,5,0|0|0,0|0|0,0|0|0,1,1,1,1,1,1,1,1,1,1,1,1
4,504635.5917,4938509.593,4,100 | 100 | 100,10 |10 |10,50,1,1,random,classvars.csv,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,1,Y,1 | 1 | 1,2 | 2 | 2,0 | 0 | 0,155 | 155 | 155,0|0|0,11.8000002|13.0500002|13.8400002,0|0|0,210 | 210 | 210,0|0|0,N,N,5,5,0|0|0,0|0|0,0|0|0,1,1,1,1,1,1,1,1,1,1,1,1
5,501250.9134,4937448.079,5,100 | 100 | 100,10 |10 |10,50,1,1,random,classvars.csv,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,1,Y,1 | 1 | 1,2 | 2 | 2,0 | 0 | 0,155 | 155 | 155,0|0|0,12.2299995|13.4799995|14.2700005,0|0|0,210 | 210 | 210,0|0|0,N,N,5,5,0|0|0,0|0|0,0|0|0,1,1,1,1,1,1,1,1,1,1,1,1
6,501914.4189,4937658.848,6,100 | 100 | 100,10 |10 |10,50,1,1,random,classvars.csv,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,1,Y,1 | 1 | 1,2 | 2 | 2,0 | 0 | 0,155 | 155 | 155,0|0|0,11.1499996|12.3999996|13.1899996,0|0|0,210 | 210 | 210,0|0|0,N,N,5,5,0|0|0,0|0|0,0|0|0,1,1,1,1,1,1,1,1,1,1,1,1
7,504148.4687,4935282.001,7,100 | 100 | 100,10 |10 |10,50,1,1,random,classvars.csv,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,1,Y,1 | 1 | 1,2 | 2 | 2,0 | 0 | 0,155 | 155 | 155,0|0|0,16.4500008|17.7000008|18.4899998,0|0|0,210 | 210 | 210,0|0|0,N,N,5,5,0|0|0,0|0|0,0|0|0,1,1,1,1,1,1,1,1,1,1,1,1
8,504884.1716,4936076.211,8,100 | 100 | 100,10 |10 |10,50,1,1,random,classvars.csv,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,1,Y,1 | 1 | 1,2 | 2 | 2,0 | 0 | 0,155 | 155 | 155,0|0|0,12.4300003|13.6800003|14.4700003,0|0|0,210 | 210 | 210,0|0|0,N,N,5,5,0|0|0,0|0|0,0|0|0,1,1,1,1,1,1,1,1,1,1,1,1
9,499054.5471,4936013.35,9,100 | 100 | 100,10 |10 |10,50,1,1,random,classvars.csv,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,1,Y,1 | 1 | 1,2 | 2 | 2,0 | 0 | 0,155 | 155 | 155,0|0|0,12.0799999|13.3299999|14.1199999,0|0|0,210 | 210 | 210,0|0|0,N,N,5,5,0|0|0,0|0|0,0|0|0,1,1,1,1,1,1,1,1,1,1,1,1
10,499299.8261,4934331.096,10,100 | 100 | 100,10 |10 |10,50,1,1,random,classvars.csv,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,0 | 0 | 0,1,Y,1 | 1 | 1,2 | 2 | 2,0 | 0 | 0,155 | 155 | 155,0|0|0,12.1499996|13.3999996|14.1899996,0|0|0,210 | 210 | 210,0|0|0,N,N,5,5,0|0|0,0|0|0,0|0|0,1,1,1,1,1,1,1,1,1,1,1,1
